Date,Issuer,Symbol, Managers,OfferP,OpeningP,FirstDayClose,ScoopStars,txtfile
3/28/2018,Bilibili ,BILI,Morgan Stanley/ BofA Merrill Lynch/ J.P. Morgan,$11.50 ,$9.80 ,$11.24 ,3,0001047469-18-002254.txt
4/19/2018,GrafTech International Ltd. ,EAF,J.P. Morgan/ Credit Suisse,$10.00 ,$10.10 ,$10.12 ,1,0001047469-18-002966.txt
4/20/2018,Level One Bancorp ,LEVL,"Raymond James/ Keefe, Bruyette & Woods (A Stifel Company)",$28.00 ,$29.00 ,$29.26 ,2,0001047469-18-002998.txt
4/26/2018,nLIGHT ,LASR,Stifel/ Raymond James,$16.00 ,$23.00 ,$26.95 ,3,0001047469-18-003223.txt
5/2/2018,PermRock Royalty Trust ,PRT,Wells Fargo Securities/ Goldman Sachs/ UBS Investment Bank,$17.00 ,$17.00 ,$15.50 ,1,0001047469-18-003455.txt
5/3/2018,Inspire Medical Systems ,INSP,BofA Merrill Lynch/ Goldman Sachs,$16.00 ,$24.49 ,$24.98 ,3,0001047469-18-003496.txt
5/16/2018,VectoIQ Acquisition ,VTIQU,Cowen/ Chardan,$10.00 ,$10.00 ,$10.00 ,1,0001047469-18-003835.txt
5/24/2018,Scholar Rock Holding ,SRRK,Jefferies/ Cowen/ BMO Capital Markets,$14.00 ,$14.25 ,$15.50 ,1,0001047469-18-004051.txt
5/24/2018,Kiniksa Pharmaceuticals ,KNSA,Goldman Sachs/ J.P. Morgan,$18.00 ,$24.45 ,$19.47 ,3,0001047469-18-004054.txt
6/21/2018,Aptinyx ,APTX,J.P. Morgan/ Cowen/ Leerink Partners/ BMO Capital Markets,$16.00 ,$17.40 ,$22.20 ,2,0001047469-18-004670.txt
6/27/2018,Uxin Limited ,UXIN,Morgan Stanley/ Goldman Sachs (Asia)/ J.P. Morgan/ CICC/ China Renaissance,$9.00 ,$10.40 ,$9.67 ,1,0001047469-18-004795.txt
7/18/2018,Rubius Therapeutics ,RUBY,J.P. Morgan/ Morgan Stanley/ Jefferies/ Leerink Partners,$23.00 ,$30.51 ,$24.25 ,3,0001047469-18-005073.txt
7/20/2018,Replimune Group ,REPL,J.P. Morgan/ Leerink Partners/ BMO Capital Market,$15.00 ,$16.00 ,$15.16 ,2,0001047469-18-005126.txt
7/26/2018,Liquidia Technologies ,LQDA,Jefferies/ Cowen,$11.00 ,$12.45 ,$11.10 ,3,0001047469-18-005173.txt
7/26/2018,Pinduoduo ,PDD,Credit Suisse/ Goldman Sachs (Asia)/ CICC,$19.00 ,$26.50 ,$26.70 ,3,0001047469-18-005204.txt
8/14/2018,Aridis Pharmaceuticals ,ARDS,Cantor,$13.00 ,$13.02 ,$13.00 ,1,0001047469-18-005638.txt
8/14/2015,Gores Holdings ,GRSHU,Deutsche Bank Securities,$10.00 ,$10.03 ,$10.49 ,1,0001047469-18-006055.txt
9/5/2018,Gores Holdings III ,GRSHU,Deutsche Bank Securities,$10.00 ,$10.17 ,$10.15 ,1,0001047469-18-006055.txt
9/12/2018,"111, Inc. ",YI,J.P. Morgan/ Citigroup/ CICC,$14.00 ,$16.75 ,$13.80 ,1,0001047469-18-006196.txt
9/19/2018,X Financial ,XYF,Deutsche Bank Securities/ Morgan Stanley,$9.50 ,$15.00 ,$11.97 ,1,0001047469-18-006293.txt
9/20/2018,Elanco Animal Health ,ELAN,Goldman Sachs/ J.P. Morgan/ Morgan Stanley,$24.00 ,$32.25 ,$36.00 ,3,0001047469-18-006314.txt
9/21/2018,Y-mAbs Therapeutics ,YMAB,BofA Merrill Lynch/ Cowen/ Canaccord Genuity,$16.00 ,$26.50 ,$24.00 ,2,0001047469-18-006346.txt
9/25/2018,Viomi Technology ,VIOT,Morgan Stanley/ CICC,$9.00 ,$9.50 ,$9.08 ,1,0001047469-18-006436.txt
9/26/2018,Viomi Technology ,VIOT,Morgan Stanley/ CICC,$9.00 ,$9.50 ,$9.05 ,1,0001047469-18-006436.txt
9/26/2018,Entasis Therapeutics Holding ,ETTX,Credit Suisse/ BMO Capital Markets,$15.00 ,$13.45 ,$10.66 ,2,0001047469-18-006439.txt
9/28/2018,CooTek ,CTK,Credit Suisse/ BofA Merrill Lych/ Citigroup,$12.00 ,$11.50 ,$9.44 ,2,0001047469-18-006480.txt
10/19/2018,Niu Technologies ,NIU,Credit Suisse/ Citigroup,$9.00 ,$8.50 ,$8.65 ,1,0001047469-18-006778.txt
10/18/2018,Osmotica Pharmaceuticals plc (OSMT),OSMT,Jefferies/ Barclays/ RBC Capital Markets,$7.00 ,$9.00 ,$8.15 ,1,0001047469-18-006791.txt
10/25/2018,Pintec Technology Holdings ,PT,Goldman Sachs (Asia)/ Deutsche Bank Securities/ Citigroup,$11.88 ,$14.35 ,$12.49 ,0,0001047469-18-006860.txt
10/25/2018,YETI Holdings ,YETI,BofA Merrill Lynch/ Morgan Stanley/ Jefferies,$18.00 ,$16.75 ,$17.00 ,1,0001047469-18-006867.txt
12/14/2018,Legacy Housing ,LEGH,B. Riley FBR/ Oak Ridge Financial/ National Securities,$12.00 ,$12.11 ,$12.03 ,2,0001047469-18-007667.txt
12/14/2018,360 Finance ,QFIN,Citigroup/Haitong International/AMTD,$16.50 ,$16.81 ,$16.50 ,1,0001047469-18-007675.txt
3/20/2019,UP Fintech Holding Limited ,TIGR,Citigroup/ Deutsche Bank Securities,$8.00 ,$8.10 ,$10.92 ,2,0001047469-19-001463.txt
4/3/2019,Ruhnn Holding ,RUHN,Citigroup/ UBS Investment Bank,$12.50 ,$12.50 ,$7.85 ,1,0001047469-19-001891.txt
